11/18/2014 01:08:58 PM | tten2csv | WARNING | Overriding num_of_shards (1) to be equal number of queries (3).
11/18/2014 01:08:58 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:09:02 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:09:06 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:09:10 PM | tten2csv | INFO | Starting Thread-0
11/18/2014 01:09:10 PM | tten2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:09:10 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:09:12 PM | tten2csv | INFO | Done.
11/18/2014 01:09:12 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:12 PM | tten2csv | INFO | Thread-0 processing Shard-1
11/18/2014 01:09:12 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:09:14 PM | tten2csv | INFO | Done.
11/18/2014 01:09:14 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:14 PM | tten2csv | INFO | Thread-0 processing Shard-2
11/18/2014 01:09:14 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:09:16 PM | tten2csv | INFO | Done.
11/18/2014 01:09:16 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:16 PM | tten2csv | INFO | Exiting Thread-0
11/18/2014 01:09:16 PM | tten2csv | INFO | Shard-0/0:		n/a
11/18/2014 01:09:16 PM | tten2csv | INFO | Shard-1/0:		n/a
11/18/2014 01:09:16 PM | tten2csv | INFO | Shard-2/0:		n/a
11/18/2014 01:09:16 PM | tten2csv | INFO | TOTAL Bytes:       14490 Bytes
11/18/2014 01:09:16 PM | tten2csv | INFO | TOTAL Rows:		n/a
11/18/2014 01:09:16 PM | tten2csv | INFO | Done.
11/18/2014 01:09:16 PM | tten2csv | INFO | Elapsed: 00:00:17
