11/18/2014 01:09:45 PM | syase2csv | WARNING | Overriding num_of_shards (1) to be equal number of queries (3).
11/18/2014 01:09:45 PM | syase2csv | INFO | Starting Thread-0
11/18/2014 01:09:45 PM | syase2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:09:45 PM | syase2csv | INFO | Extracting data...
11/18/2014 01:09:45 PM | syase2csv | INFO | Done.
11/18/2014 01:09:45 PM | syase2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:45 PM | syase2csv | INFO | Thread-0 processing Shard-1
11/18/2014 01:09:45 PM | syase2csv | INFO | Extracting data...
11/18/2014 01:09:46 PM | syase2csv | INFO | Done.
11/18/2014 01:09:46 PM | syase2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:46 PM | syase2csv | INFO | Thread-0 processing Shard-2
11/18/2014 01:09:46 PM | syase2csv | INFO | Extracting data...
11/18/2014 01:09:47 PM | syase2csv | INFO | Done.
11/18/2014 01:09:47 PM | syase2csv | INFO | Thread-0 exit status 0
11/18/2014 01:09:47 PM | syase2csv | INFO | Exiting Thread-0
11/18/2014 01:09:47 PM | syase2csv | INFO | Shard-0/0:          21 rows
11/18/2014 01:09:47 PM | syase2csv | INFO | Shard-1/0:          21 rows
11/18/2014 01:09:47 PM | syase2csv | INFO | Shard-2/0:          21 rows
11/18/2014 01:09:47 PM | syase2csv | INFO | TOTAL Bytes:        6426 Bytes
11/18/2014 01:09:47 PM | syase2csv | INFO | TOTAL Rows:           63 Rows
11/18/2014 01:09:47 PM | syase2csv | INFO | Done.
11/18/2014 01:09:47 PM | syase2csv | INFO | Elapsed: 00:00:02
