11/18/2014 01:14:20 PM | dbtws2csv | WARNING | Overriding num_of_shards (1) to be equal number of queries (3).
11/18/2014 01:14:20 PM | dbtws2csv | INFO | Starting Thread-0
11/18/2014 01:14:20 PM | dbtws2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:14:20 PM | dbtws2csv | INFO | Extracting data...
11/18/2014 01:14:22 PM | dbtws2csv | INFO | Done.
11/18/2014 01:14:22 PM | dbtws2csv | INFO | Thread-0 exit status 0
11/18/2014 01:14:22 PM | dbtws2csv | INFO | Thread-0 processing Shard-1
11/18/2014 01:14:22 PM | dbtws2csv | INFO | Extracting data...
11/18/2014 01:14:24 PM | dbtws2csv | INFO | Done.
11/18/2014 01:14:24 PM | dbtws2csv | INFO | Thread-0 exit status 0
11/18/2014 01:14:24 PM | dbtws2csv | INFO | Thread-0 processing Shard-2
11/18/2014 01:14:24 PM | dbtws2csv | INFO | Extracting data...
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Done.
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Thread-0 exit status 0
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Exiting Thread-0
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Shard-0/0:          15 rows
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Shard-1/0:          15 rows
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Shard-2/0:          15 rows
11/18/2014 01:14:26 PM | dbtws2csv | INFO | TOTAL Bytes:        4725 Bytes
11/18/2014 01:14:26 PM | dbtws2csv | INFO | TOTAL Rows:           45 Rows
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Done.
11/18/2014 01:14:26 PM | dbtws2csv | INFO | Elapsed: 00:00:06
